foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Howard G. Buffett Foundation,2024,"Lilly's Voice, Inc",20000,General Support (Trustee Designated Grant) - US,Meridian,ID,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Love 146,2736738,Anti Human Trafficking Prevention Program - US,New Haven,CT,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Mercy Corps,41135366,"Voluntary Coca Substitution and Land Titling for Small Holder Farmers - Tibu, Colombia",Portland,OR,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Mercy Corps,19000000,Agricultural Support for Small Sized Farmer Operations - Ukraine,Portland,OR,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Mercy Corps,5821619,Algo Nuevo Expansion - Colombia,Portland,OR,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Mountain Seed Foundation,325975,Family Recovery Programs - Ukraine,Centreville,VA,pdf:470824756_202412
Howard G. Buffett Foundation,2024,NOVA Ukraine,845400,Humanitarian Warming Centers - Ukraine,Palo Alto,CA,pdf:470824756_202412
Howard G. Buffett Foundation,2024,NOVA Ukraine,340381,Iron Squad Program for Youth - Ukraine,Palo Alto,CA,pdf:470824756_202412
Howard G. Buffett Foundation,2024,NOVA Ukraine,132500,General Operating Support - Ukraine,Palo Alto,CA,pdf:470824756_202412
Howard G. Buffett Foundation,2024,National Police of Ukraine,537000,"Investigation Equipment, for Crimes Against Humanity Equipment In Kind - Ukraine","Kyiv, Ukraine 01601",,pdf:470824756_202412
Howard G. Buffett Foundation,2024,National Police of Ukraine,1982344,K-9 Vet Equipment; Search and Rescue and Explosive Detection - Ukraine,"Kyiv, Ukraine 01601",,pdf:470824756_202412
Howard G. Buffett Foundation,2024,National Police of Ukraine,195000,Emergency Response Equipment In Kind - Ukraine,"Kyiv, Ukraine 01601",,pdf:470824756_202412
