foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Charles and Lynn Schusterman Family Foundation,2021,DEANS FOR IMPACT,250000,GENERAL OPERATING SUPPORT,AUSTIN,TX,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DEMOCRACY PREP PUBLIC SCHOOLS,400000,GENERAL OPERATING SUPPORT,NEW YORK CITY,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DESIGNING JUSTICE & DESIGNING SPACES,500000,GENERAL OPERATING SUPPORT,BROADWAY OAKLAND,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DISTRICT SCHOOL BOARD OF PASCO COUNTY,864,EDUCATOR ENGAGEMENT MEETINGS,BLVD LAND O'LAKES,FL,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DISTRICT SCHOOL BOARD OF PASCO COUNTY,589324,PASCO GRANT FOR PHASE 1,BLVD LAND O'LAKES,FL,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"DIVERSE CHARTER SCHOOLS COALITION, INC",13000,SUMMER LEARNING 2021 | UNBOUND STOCKTON'S SUMMER LITERACY AND LEARNING CAMP,FLOOR NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"DIVERSITY TALKS PD, INC",150000,SUMMER LEARNING GRANT,PROVIDENCE,RI,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DJCC DEVELOPMENT CORPORATION,100000,GENERATIONS CAMPAIGN: AUSTIN JCC EXPANSION,HART LANE AUSTIN,TX,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DOMESTIC VIOLENCE INTERVENTION SERVICES INC,60000,PHASE II OF DEI WORK,APACHE ST TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DONORSCHOOSE.ORG,60000,MATCH CAMPAIGN,FLOOR NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DOROTHY K. AND MYER S. KRIPKE INSTITUTE FOR JEWISH FAMILY LITERACY,25000,JCRIF SUPPORT FOR RON WOLFSON'S HOMECOMING PROJECT,DENSMORE AVENUE ENCINO,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DRUG POLICY ALLIANCE,487562,GENERAL OPERATING SUPPORT,STREET NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DUKE UNIVERSITY ALUMNI & DEVELOPMENT RECORDS BOX,250000,DUKE PROSECUTOR RESEARCH PROJECT,DURHAM,NC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ECONOMIC POLICY INSTITUTE,250000,GENERAL OPERATING SUPPORT,EYE STREET WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ECONOMIC SECURITY PROJECT INC,500000,CHILD TAX CREDIT AD CAMPAIGN,STREET NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ECUMENICAL COALITION FOR WOMEN AND FAMILIES PO BOX 698,150000,GENERAL OPERATING SUPPORT,BILOXI,MS,char500:731312965_2021
